task,seed,comparison,design,N,clusters,replicates,R2_difference,R2_CI_low,R2_CI_high,excludes_zero
CityLens Healthcare overlap,42,Intermediate-minus-Global,city,2204,13,2000,0.019957522125884197,0.0037389431489825912,0.03673356487396505,True
CityLens Healthcare overlap,42,Exact-minus-Intermediate,city,2204,13,2000,0.0035486635573044323,-0.013523443365464039,0.01860102879650613,False
CityLens Healthcare overlap,42,Exact-minus-Satellite,city,2204,13,2000,0.03128871868456018,0.0053801701165233935,0.05747277539214512,True
CityLens Healthcare overlap,42,Exact-minus-Global,city,2204,13,2000,0.02350618568318863,-0.0013278275488910179,0.0464033389304164,False
CityLens Healthcare overlap,42,PM-minus-Satellite,city-block,2204,130,2000,0.004697988285075283,-0.015032437566893774,0.024073190133170868,False
CityLens Healthcare overlap,42,Global-minus-PM,city-block,2204,130,2000,0.003084544716296267,-0.03268599099965538,0.03465887106818944,False
CityLens Healthcare overlap,42,Intermediate-minus-Global,city-block,2204,130,2000,0.019957522125884197,-0.006460001922430467,0.04727306056786521,False
CityLens Healthcare overlap,42,Exact-minus-Intermediate,city-block,2204,130,2000,0.0035486635573044323,-0.01977486894356357,0.024654799058813983,False
CityLens Healthcare overlap,42,Exact-minus-Satellite,city-block,2204,130,2000,0.03128871868456018,-0.0010652570100283438,0.06410891927076214,False
CityLens Healthcare overlap,42,Exact-minus-Global,city-block,2204,130,2000,0.02350618568318863,-0.007888074152584865,0.05648224824920566,False
CityLens Healthcare overlap,43,PM-minus-Satellite,city,2204,13,2000,0.0037888296210728534,-0.01320080206554077,0.023319259905718547,False
CityLens Healthcare overlap,43,Global-minus-PM,city,2204,13,2000,0.020140433467405794,-0.015049175252659135,0.057913278741368375,False
CityLens Healthcare overlap,43,Intermediate-minus-Global,city,2204,13,2000,0.019527470249645407,0.003802519622618043,0.03743223033799759,True
CityLens Healthcare overlap,43,Exact-minus-Intermediate,city,2204,13,2000,-0.010616068883770757,-0.02516185365010272,0.0019942073578370157,False
CityLens Healthcare overlap,43,Exact-minus-Satellite,city,2204,13,2000,0.0328406644543533,0.0050044405973757615,0.06625355837269443,True
CityLens Healthcare overlap,43,Exact-minus-Global,city,2204,13,2000,0.00891140136587465,-0.009450637687771931,0.026185142712361813,False
CityLens Healthcare overlap,43,PM-minus-Satellite,city-block,2204,130,2000,0.0037888296210728534,-0.0196638657754437,0.026636876324311935,False
CityLens Healthcare overlap,43,Global-minus-PM,city-block,2204,130,2000,0.020140433467405794,-0.021966379084456027,0.06544448736919145,False
CityLens Healthcare overlap,43,Intermediate-minus-Global,city-block,2204,130,2000,0.019527470249645407,-0.0029354265536973736,0.04477722087738263,False
CityLens Healthcare overlap,43,Exact-minus-Intermediate,city-block,2204,130,2000,-0.010616068883770757,-0.0302656710404858,0.010761805458283036,False
CityLens Healthcare overlap,43,Exact-minus-Satellite,city-block,2204,130,2000,0.0328406644543533,-0.005216745088079418,0.07177909522105155,False
CityLens Healthcare overlap,43,Exact-minus-Global,city-block,2204,130,2000,0.00891140136587465,-0.016522680023869106,0.03597295524843202,False
CityLens Healthcare overlap,44,PM-minus-Satellite,city,2204,13,2000,0.0006207900147401357,-0.02103637540351964,0.020065727922932812,False
CityLens Healthcare overlap,44,Global-minus-PM,city,2204,13,2000,0.013899729256664162,-0.0018988201447517742,0.03498693579910671,False
CityLens Healthcare overlap,44,Intermediate-minus-Global,city,2204,13,2000,0.022937305101249583,0.005183450886863681,0.04272971412839311,True
CityLens Healthcare overlap,44,Exact-minus-Intermediate,city,2204,13,2000,-0.004438011199848324,-0.020194967483579063,0.010740706232884931,False
CityLens Healthcare overlap,44,Exact-minus-Satellite,city,2204,13,2000,0.03301981317280556,0.009018898533658871,0.06005242214155863,True
CityLens Healthcare overlap,44,Exact-minus-Global,city,2204,13,2000,0.01849929390140126,-0.0006588355660115155,0.03683084631496042,False
CityLens Healthcare overlap,44,PM-minus-Satellite,city-block,2204,130,2000,0.0006207900147401357,-0.02492319668530858,0.027490597143520496,False
CityLens Healthcare overlap,44,Global-minus-PM,city-block,2204,130,2000,0.013899729256664162,-0.014121611408062399,0.04394086935174068,False
CityLens Healthcare overlap,44,Intermediate-minus-Global,city-block,2204,130,2000,0.022937305101249583,-0.0014542699141782682,0.0473847993813874,False
CityLens Healthcare overlap,44,Exact-minus-Intermediate,city-block,2204,130,2000,-0.004438011199848324,-0.02640145259230038,0.01710800372919291,False
CityLens Healthcare overlap,44,Exact-minus-Satellite,city-block,2204,130,2000,0.03301981317280556,-0.0018355382995286827,0.0695941765510244,False
CityLens Healthcare overlap,44,Exact-minus-Global,city-block,2204,130,2000,0.01849929390140126,-0.007363746845423267,0.0426861909668113,False
CityLens Healthcare overlap,45,PM-minus-Satellite,city,2204,13,2000,0.005091311536236542,-0.010021609341931305,0.019275989493123882,False
CityLens Healthcare overlap,45,Global-minus-PM,city,2204,13,2000,0.007225383925858142,-0.010733983446065168,0.022438327031267195,False
CityLens Healthcare overlap,45,Intermediate-minus-Global,city,2204,13,2000,0.007788324753522757,0.0013950178494932933,0.015574683484656066,True
CityLens Healthcare overlap,45,Exact-minus-Intermediate,city,2204,13,2000,-0.012323714713169509,-0.02780029675654697,0.0010566419759786153,False
CityLens Healthcare overlap,45,Exact-minus-Satellite,city,2204,13,2000,0.007781305502447933,-0.015321434339637799,0.03182572323589687,False
CityLens Healthcare overlap,45,Exact-minus-Global,city,2204,13,2000,-0.004535389959646752,-0.022932770763710413,0.01224918936759597,False
CityLens Healthcare overlap,45,PM-minus-Satellite,city-block,2204,130,2000,0.005091311536236542,-0.015979534626973827,0.02682097173992914,False
CityLens Healthcare overlap,45,Global-minus-PM,city-block,2204,130,2000,0.007225383925858142,-0.020454026900942893,0.030690186710425952,False
CityLens Healthcare overlap,45,Intermediate-minus-Global,city-block,2204,130,2000,0.007788324753522757,-0.01136159836533224,0.026189361608121065,False
CityLens Healthcare overlap,45,Exact-minus-Intermediate,city-block,2204,130,2000,-0.012323714713169509,-0.038523990486603744,0.01140894160657977,False
CityLens Healthcare overlap,45,Exact-minus-Satellite,city-block,2204,130,2000,0.007781305502447933,-0.026707699700612094,0.04274251485545208,False
CityLens Healthcare overlap,45,Exact-minus-Global,city-block,2204,130,2000,-0.004535389959646752,-0.032851785334307146,0.0219689060047907,False
CityLens Healthcare overlap,41,Paired-minus-NoPrivilege,city,2204,13,2000,0.00510638058458357,-0.011498844998141564,0.024821500269693937,False
CityLens Healthcare overlap,41,Paired-minus-GlobalShuffled,city,2204,13,2000,0.002366477453611626,-0.013795823951136902,0.01708834500139578,False
CityLens Healthcare overlap,41,Paired-minus-SatelliteTeacher,city,2204,13,2000,-0.00021584956573472702,-0.013145649750015634,0.014058561821051418,False
CityLens Healthcare overlap,41,Paired-minus-NoPrivilege,city-block,2204,130,2000,0.00510638058458357,-0.02241307005648517,0.036463243264498874,False
CityLens Healthcare overlap,41,Paired-minus-GlobalShuffled,city-block,2204,130,2000,0.002366477453611626,-0.020632984513013184,0.020728092226632515,False
CityLens Healthcare overlap,41,Paired-minus-SatelliteTeacher,city-block,2204,130,2000,-0.00021584956573472702,-0.02309986574435997,0.02260327984799,False
CityLens Healthcare overlap,42,Paired-minus-NoPrivilege,city,2204,13,2000,0.00952370419362858,-0.01464289968320188,0.03420234960187897,False
CityLens Healthcare overlap,42,Paired-minus-GlobalShuffled,city,2204,13,2000,-0.0037649738443669145,-0.013927849547799988,0.009454922691942206,False
