task,seed,city,N,model,R2,RMSE,MAE
CityLens Healthcare overlap,41,SaoPaulo,280,Minimum-cost Intermediate,0.13795613516836103,1.083040331639507,0.8683674300000354
CityLens Healthcare overlap,41,SaoPaulo,280,Parameter-matched,0.17875272234777884,1.0571020585246351,0.84472707737728
CityLens Healthcare overlap,41,SaoPaulo,280,Exact,0.15098709483907435,1.07482335051875,0.8607825907948486
CityLens Healthcare overlap,41,SaoPaulo,280,Within-city Global,0.17477464758868455,1.059659236461893,0.8497330086034848
CityLens Healthcare overlap,41,SaoPaulo,280,Satellite,0.17626578379823765,1.0587014310062466,0.8353192664220644
CityLens Healthcare overlap,41,Shanghai,19,Minimum-cost Intermediate,-0.3411844924056444,1.4601632362614054,1.3584028394473233
CityLens Healthcare overlap,41,Shanghai,19,Parameter-matched,-0.16941664790442568,1.3634580617860006,1.2391045044266356
CityLens Healthcare overlap,41,Shanghai,19,Exact,-0.20292016061865592,1.3828515150654266,1.2878093160523603
CityLens Healthcare overlap,41,Shanghai,19,Within-city Global,-0.2871303422956377,1.4304359362966677,1.3476163960523604
CityLens Healthcare overlap,41,Shanghai,19,Satellite,-0.10125376834875888,1.3231249282360038,1.1905304549529518
CityLens Healthcare overlap,41,Sydney,208,Minimum-cost Intermediate,0.1816258632942913,1.0339073017664577,0.7285452908663856
CityLens Healthcare overlap,41,Sydney,208,Parameter-matched,0.1892789923467223,1.0290615890051045,0.777287374630107
CityLens Healthcare overlap,41,Sydney,208,Exact,0.21230012038061608,1.0143458205608245,0.7223779442104209
CityLens Healthcare overlap,41,Sydney,208,Within-city Global,0.16817654469531917,1.0423683967399149,0.7468648241857587
CityLens Healthcare overlap,41,Sydney,208,Satellite,0.18725399776553497,1.0303459670485533,0.7756192707693942
CityLens Healthcare overlap,41,Tokyo,281,Minimum-cost Intermediate,0.00771525174724097,1.1445119081840673,0.9634389974242737
CityLens Healthcare overlap,41,Tokyo,281,Parameter-matched,0.019223042129502654,1.1378559495357088,0.9568414642898504
CityLens Healthcare overlap,41,Tokyo,281,Exact,0.047695010970709606,1.1212183255535841,0.9460927524305607
CityLens Healthcare overlap,41,Tokyo,281,Within-city Global,0.05109412471914987,1.1192155241469566,0.9598227661096296
CityLens Healthcare overlap,41,Tokyo,281,Satellite,0.03979677227276879,1.1258583117173209,0.9422473095391858
CityLens Healthcare overlap,42,Beijing,29,Minimum-cost Intermediate,-0.005686166518342528,1.149074480557448,0.9124534872310297
CityLens Healthcare overlap,42,Beijing,29,Parameter-matched,-0.05598510902928622,1.1774591217032415,0.989159882614598
CityLens Healthcare overlap,42,Beijing,29,Exact,-0.1264430643533685,1.2161063723216066,0.9899575050043946
