task,seed,city,N,model,R2,RMSE,MAE
CityLens Population,44,Paris,130,Paired KD,0.21682572038722403,0.6302410475823453,0.4936693557579954
CityLens Population,44,Paris,130,Satellite-teacher KD,0.2428407418674573,0.6196851596896386,0.49067013989121677
CityLens Population,44,Paris,130,Global-shuffled KD,0.210582737963528,0.6327480080144533,0.4991229635902053
CityLens Population,44,SanFrancisco,157,No-Privilege,0.15236646686201905,2.156414553395419,1.3904821686188602
CityLens Population,44,SanFrancisco,157,Paired KD,0.22291104074697665,2.064731382243223,1.3384838942814503
CityLens Population,44,SanFrancisco,157,Satellite-teacher KD,0.25115034927742363,2.0268681824156025,1.2808347488627172
CityLens Population,44,SanFrancisco,157,Global-shuffled KD,0.22147630469185486,2.066636555674616,1.3113666755652384
CityLens Population,44,SaoPaulo,280,No-Privilege,0.44035596394523335,1.2544856482226,0.849143406266912
CityLens Population,44,SaoPaulo,280,Paired KD,0.44296450856362446,1.25155860558915,0.8545926302316896
CityLens Population,44,SaoPaulo,280,Satellite-teacher KD,0.4580190071482949,1.2345303900648583,0.8252485792000523
CityLens Population,44,SaoPaulo,280,Global-shuffled KD,0.4364084836030373,1.2589021660235973,0.8404947399263137
CityLens Population,44,Shanghai,19,No-Privilege,-0.09858642989728938,1.3266341628746035,1.0513259994750157
CityLens Population,44,Shanghai,19,Paired KD,-0.060631617289985895,1.3035159403019516,0.9948506697604835
CityLens Population,44,Shanghai,19,Satellite-teacher KD,-0.13203025535532076,1.3466758714692237,1.0481139239905892
CityLens Population,44,Shanghai,19,Global-shuffled KD,-0.06726410005719075,1.3075852482002044,1.0023970359644019
CityLens Population,44,Sydney,205,No-Privilege,0.007567461935842235,1.857496848766081,1.2887571776172169
CityLens Population,44,Sydney,205,Paired KD,0.16579355059361212,1.7029988703359966,1.163900659626374
CityLens Population,44,Sydney,205,Satellite-teacher KD,0.10225603413773332,1.7666634969231896,1.20046522941461
CityLens Population,44,Sydney,205,Global-shuffled KD,0.13983762845359837,1.7292899135030833,1.1767108520811054
CityLens Population,44,Tokyo,280,No-Privilege,0.23604307395328417,0.7125984005084285,0.5545993958454598
CityLens Population,44,Tokyo,280,Paired KD,0.2715190148031841,0.695856225576842,0.543663007479236
CityLens Population,44,Tokyo,280,Satellite-teacher KD,0.30413118564937514,0.680102065530673,0.5329998387939434
CityLens Population,44,Tokyo,280,Global-shuffled KD,0.3060989375051206,0.6791398011692655,0.5345843983894691
CityLens Population,45,Beijing,29,No-Privilege,-0.9993213474438296,1.3355599290849145,1.0503204788891303
CityLens Population,45,Beijing,29,Paired KD,-0.44971318587460507,1.1372687962239056,0.8924327739184237
CityLens Population,45,Beijing,29,Satellite-teacher KD,-0.4167812753264284,1.1242774062329108,0.8788944256896523
CityLens Population,45,Beijing,29,Global-shuffled KD,-0.5654308162754276,1.1817864829011822,0.9348292351298372
CityLens Population,45,CapeTown,245,No-Privilege,0.5433376428591141,1.3157946583383502,0.9777394305774623
CityLens Population,45,CapeTown,245,Paired KD,0.4837518939466887,1.3990065495111115,1.0341388378404053
CityLens Population,45,CapeTown,245,Satellite-teacher KD,0.4977088053771318,1.3799657081291166,0.9859884603685992
CityLens Population,45,CapeTown,245,Global-shuffled KD,0.49363956180625135,1.3855442344401765,0.9881871078224825
CityLens Population,45,London,197,No-Privilege,0.13467739116986088,1.09191339390508,0.7721556420506545
CityLens Population,45,London,197,Paired KD,0.19280065428067494,1.0546043743859859,0.733153929264594
CityLens Population,45,London,197,Satellite-teacher KD,0.20105623237256331,1.0491975660570694,0.743030091559969
CityLens Population,45,London,197,Global-shuffled KD,0.2267518797295518,1.0321875211380542,0.7222647589151681
CityLens Population,45,Moscow,205,No-Privilege,-0.3285797324449464,0.7575827637129288,0.6029129621573345
CityLens Population,45,Moscow,205,Paired KD,-0.26238175589532364,0.7384679109203504,0.5760713624165035
CityLens Population,45,Moscow,205,Satellite-teacher KD,-0.4920460192762586,0.8028370063416023,0.6059495134816933
CityLens Population,45,Moscow,205,Global-shuffled KD,-0.26592152248753664,0.7395025322427694,0.5695398458657954
CityLens Population,45,Mumbai,105,No-Privilege,-2.3943711615934675,1.6210133505273159,1.1608916046759454
CityLens Population,45,Mumbai,105,Paired KD,-2.0928013336961064,1.5473299761970263,1.139298812518825
CityLens Population,45,Mumbai,105,Satellite-teacher KD,-2.4911595947168412,1.6439620143947338,1.2325768830471993
CityLens Population,45,Mumbai,105,Global-shuffled KD,-2.7206737050729366,1.6971401960717045,1.2509935716501464
CityLens Population,45,Nairobi,119,No-Privilege,0.351791478899909,1.268686981922748,0.978056708571583
CityLens Population,45,Nairobi,119,Paired KD,0.4308441001346799,1.1888107858840333,0.945049469099438
CityLens Population,45,Nairobi,119,Satellite-teacher KD,0.4677584679937017,1.1496125492026659,0.9049248634299645
CityLens Population,45,Nairobi,119,Global-shuffled KD,0.3783151461451447,1.2424595513401873,0.9757978218871759
CityLens Population,45,NewYork,202,No-Privilege,0.2875557490752848,1.5094865068029406,1.0327958103810237
CityLens Population,45,NewYork,202,Paired KD,0.35077552521374133,1.440957706256608,0.9663074225923457
CityLens Population,45,NewYork,202,Satellite-teacher KD,0.3572175021072287,1.4337908799708103,0.9668499369856548
CityLens Population,45,NewYork,202,Global-shuffled KD,0.32186085796055997,1.4726963089855016,0.9974322043257011
CityLens Population,45,Paris,130,No-Privilege,0.22094119969337245,0.6285829489405246,0.5079338146282191
CityLens Population,45,Paris,130,Paired KD,0.27583724798366716,0.6060320166956141,0.4748072523073033
CityLens Population,45,Paris,130,Satellite-teacher KD,0.22526609436253264,0.6268357518587107,0.4918823454221981
CityLens Population,45,Paris,130,Global-shuffled KD,0.2716279578739954,0.6077907845611549,0.47027200550549175
CityLens Population,45,SanFrancisco,157,No-Privilege,0.1370003410447196,2.1758727913320715,1.4018470790044932
CityLens Population,45,SanFrancisco,157,Paired KD,0.25713830140936766,2.018748295343769,1.2785431082383458
CityLens Population,45,SanFrancisco,157,Satellite-teacher KD,0.262143268167906,2.011936230580878,1.3107513403850288
CityLens Population,45,SanFrancisco,157,Global-shuffled KD,0.2890176428600737,1.9749568048325,1.243512368136767
CityLens Population,45,SaoPaulo,280,No-Privilege,0.3959017253946653,1.303357498445115,0.9026132175473521
CityLens Population,45,SaoPaulo,280,Paired KD,0.41611751096987126,1.2813638945324481,0.8631437505893516
CityLens Population,45,SaoPaulo,280,Satellite-teacher KD,0.4459985726120287,1.2481454533220073,0.8573209402297868
CityLens Population,45,SaoPaulo,280,Global-shuffled KD,0.4358006048750045,1.259580896618179,0.8425950337333811
CityLens Population,45,Shanghai,19,No-Privilege,-0.051968561305852035,1.298181578826377,1.0011942293982472
CityLens Population,45,Shanghai,19,Paired KD,-0.011244904425238067,1.272806061533655,0.9587186545032921
CityLens Population,45,Shanghai,19,Satellite-teacher KD,-0.018831566071614514,1.2775716258914183,0.9454718403985033
CityLens Population,45,Shanghai,19,Global-shuffled KD,0.04374633977791509,1.2377148939521565,0.9233703646119988
CityLens Population,45,Sydney,205,No-Privilege,0.03595610519470327,1.830737142130862,1.242564392960725
CityLens Population,45,Sydney,205,Paired KD,0.21379985674961388,1.6532713797636942,1.1130591401890562
CityLens Population,45,Sydney,205,Satellite-teacher KD,0.1766956327192608,1.691834192320822,1.1610770407732556
CityLens Population,45,Sydney,205,Global-shuffled KD,0.197956197806053,1.6698468124361465,1.1240273452876004
CityLens Population,45,Tokyo,280,No-Privilege,0.26356728464047874,0.6996437254099573,0.5379601130264458
CityLens Population,45,Tokyo,280,Paired KD,0.28270065856723026,0.6904951349005515,0.5411244733175039
CityLens Population,45,Tokyo,280,Satellite-teacher KD,0.25059636810296215,0.7057783038235498,0.5430148139861345
CityLens Population,45,Tokyo,280,Global-shuffled KD,0.29461504194478594,0.6847365401403728,0.5377855251401312
CityLens Healthcare overlap,41,Beijing,29,No-Privilege,-0.21611133729403798,1.26358252207488,1.0469828085664161
CityLens Healthcare overlap,41,Beijing,29,Paired KD,-0.0064269152416012165,1.1494975841084722,0.9601582127880939
CityLens Healthcare overlap,41,Beijing,29,Satellite-teacher KD,-0.01881315230600955,1.1565494672462056,0.9112189763775468
CityLens Healthcare overlap,41,Beijing,29,Global-shuffled KD,-0.021298977747380876,1.157959553353349,0.9474139606141982
CityLens Healthcare overlap,41,CapeTown,252,No-Privilege,-0.0036237375705787667,1.0254192715151387,0.7012677318005143
CityLens Healthcare overlap,41,CapeTown,252,Paired KD,0.052058227377443256,0.9965677841247343,0.6946844479949877
CityLens Healthcare overlap,41,CapeTown,252,Satellite-teacher KD,0.07393109287557809,0.9850032521178397,0.692682790172794
